שוק,קטגוריה,סקטור,טיקר,דמי ניהול,מספר קרן,תיאור
תעודות סל איריות,תעשיות ותתי-סקטורים,ביטוח,INSU,0.30%,,"SPDR S&P Insurance UCITS – חברות ביטוח אמריקאיות, גרסה אירית ל-KIE"
תעודות סל איריות,תעשיות ותתי-סקטורים,מכשור רפואי,HEAL,0.40%,,iShares Healthcare Innovation UCITS – חברות מכשור רפואי וחדשנות בבריאות
תעודות סל איריות,תעשיות ותתי-סקטורים,קמעונאות,RTEU,0.25%,,"SPDR MSCI USA Consumer Staples UCITS – קמעונאות ומוצרי צריכה, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,אנרגיה,IUES,0.15%,,"iShares S&P 500 Energy Sector UCITS – סקטור האנרגיה מתוך S&P 500, מבנה UCITS פיזי"
תעודות סל איריות,עבור סקטורים,פיננסים,IUFS,0.15%,,"iShares S&P 500 Financials Sector UCITS – סקטור הפיננסים מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,טכנולוגיה,IUIT,0.15%,,"iShares S&P 500 Information Technology UCITS – סקטור ה-IT מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,בריאות,IUHC,0.15%,,"iShares S&P 500 Health Care Sector UCITS – סקטור הבריאות מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,צרכנות דיסקרציונרית,IUCD,0.15%,,"iShares S&P 500 Consumer Discretionary UCITS – צרכנות דיסקרציונרית, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,מוצרי צריכה בסיסיים,IUSP,0.15%,,"iShares S&P 500 Consumer Staples Sector UCITS – מוצרי צריכה בסיסיים, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,תעשייה,IUIS,0.15%,,"iShares S&P 500 Industrials Sector UCITS – סקטור התעשייה מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,"נדל""ן",IURE,0.15%,,"iShares S&P 500 Real Estate Sector UCITS – סקטור הנדל""ן מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,שירותים ציבוריים,IUUT,0.15%,,"iShares S&P 500 Utilities Sector UCITS – סקטור השירותים מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,עבור סקטורים,חומרי גלם,IUMA,0.15%,,"iShares S&P 500 Materials Sector UCITS – סקטור חומרי הגלם מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,שווקים חיצוניים,יפן,XMUJ,0.40%,,"Xtrackers MSCI Japan UCITS – חברות יפניות גדולות ובינוניות, מבנה UCITS פיזי"
תעודות סל איריות,שווקים חיצוניים,אירופה,VEUR,0.10%,,"Vanguard FTSE Developed Europe UCITS – חברות אירופאיות מפותחות, גרסה אירית ל-VGK"
תעודות סל איריות,ממונפות – עקיבה סינטטית,S&P 500 × 2,LSPU,0.60%,,"Leverage Shares 2x S&P 500 ETP – S&P 500 ממונף פי 2, מבנה ETP איריות"
תעודות סל איריות,ממונפות – עקיבה סינטטית,S&P 500 × 3,LSP3,0.60%,,"Leverage Shares 3x S&P 500 ETP – S&P 500 ממונף פי 3, מבנה ETP איריות"
תעודות סל איריות,ממונפות – עקיבה סינטטית,"נאסד""ק 100 × 2",QLQP,0.60%,,"Leverage Shares 2x NASDAQ 100 ETP – נאסד""ק ממונף פי 2, מבנה ETP איריות"
תעודות סל איריות,ממונפות – עקיבה סינטטית,"נאסד""ק 100 × 3",LYNX,0.60%,,"Leverage Shares 3x NASDAQ 100 ETP – נאסד""ק ממונף פי 3, מבנה ETP איריות"
תעודות סל איריות,ממונפות – עקיבה סינטטית,דאו ג'ונס × 3,3LDO,0.60%,,"Leverage Shares 3x Dow Jones ETP – דאו ג'ונס ממונף פי 3, מבנה ETP איריות"
תעודות סל ישראליות,מדדים ישראליים,"ת""א 90",קסם ETF תא 90,0.53%,1146331,"עוקב אחר מדד ת""א 90 – 90 החברות הבאות אחרי ת""א 35, חברות ישראליות בינוניות"
תעודות סל ישראליות,מדדים ישראליים,"ת""א בנקים","תכלית סל ת""א בנקים 5",0.20%,1143726,"עוקב אחר מדד ת""א בנקים – 5 הבנקים הגדולים בישראל: לאומי, הפועלים, דיסקונט, מזרחי, בינלאומי"
תעודות סל ישראליות,מדדים ישראליים,"ת""א 90 + בנקים",תל אביב 90 + בנקים,0.10%,1213594,"שילוב של מדד ת""א 90 יחד עם מניות הבנקים – חשיפה לשוק הישראלי הרחב"
תעודות סל ישראליות,מדדים ישראליים,"ת""א SME 60",הראל סל תא SME60,0.80%,1148956,"עוקב אחר מדד ת""א SME 60 – 60 חברות קטנות ובינוניות ישראליות הנסחרות בבורסה"
תעודות סל ישראליות,מדדים ישראליים,"ת""א פיננסים",קסם ETF תא פיננסים,0.45%,1146554,"עוקב אחר מדד ת""א פיננסים – חברות פיננסיות ישראליות, בנקים, ביטוח ושוקי הון"
תעודות סל ישראליות,מדדים ישראליים,"ת""א טכנולוגיה",הראל סל תא טכנולוגיה,0.45%,1161827,"עוקב אחר מדד ת""א טכנולוגיה – חברות טכנולוגיה ישראליות הנסחרות בבורסת תל אביב"
תעודות סל ישראליות,מדדים ישראליים,"ת""א בנייה",תכלית סל תא-בנייה,0.00%,1176536,"עוקב אחר מדד ת""א בנייה – חברות נדל""ן ובנייה ישראליות, כולל יזמים וקבלנים"
תעודות סל ישראליות,מדדים ישראליים,"ת""א נדל""ן",תכלית סל תא נדלן,0.45%,1144559,"עוקב אחר מדד ת""א נדל""ן – חברות נדל""ן מניב ישראליות, קניונים ומשרדים"
תעודות סל ישראליות,מדדים ישראליים,תשתיות לאומיות,MTF תשתיות לאומיות ישראל,0.50%,5130604,"עוקב אחר מדד תשתיות לאומיות – חברות תשתית ישראליות: חשמל, מים, תחבורה ותקשורת"
תעודות סל ישראליות,מדדים ישראליים,"ת""א ביטוח","תכלית סל ת""א ביטוח",0.40%,1197698,"עוקב אחר מדד ת""א ביטוח – חברות הביטוח הגדולות בישראל: מגדל, הפניקס, הראל, כלל"
תעודות סל ישראליות,מדדים ישראליים,"ת""א נפט וגז","תכלית סל ת""א נפט וגז",0.50%,1144807,"עוקב אחר מדד ת""א נפט וגז – חברות אנרגיה ישראליות, כולל חברות הגז הטבעי"
תעודות סל ישראליות,"מנוטרלות מט""ח","נאסד""ק 100 שקלי","קסם KTF נאסד""ק 100 שקלי",0.025%,5124516,"עוקב אחר נאסד""ק 100 תוך ניטרול סיכון שינויי הדולר/שקל – מתאים למי שלא רוצה חשיפה מטבעית"
תעודות סל ישראליות,"מנוטרלות מט""ח",S&P 500 שקלי,קסם KTF S&P 500 שקלי,0.025%,5124482,עוקב אחר S&P 500 תוך ניטרול סיכון שינויי הדולר/שקל – חשיפה לשוק האמריקאי ללא סיכון מטבע
